ticker,shortName,sector,marketCap,previousClose,open,dayHigh,dayLow,volume,averageVolume,beta,trailingPE,forwardPE,priceToBook,fiftyTwoWeekHigh,fiftyTwoWeekLow,dividendYield,returnOnEquity
MMM,3M Company,Industrials,80986398720,151.27,150.605,153.88,150.1492,3484737,3340959,1.079,21.001383,19.246836,18.878819,164.15,119.31,1.93,0.9476
AOS,A.O. Smith Corporation,Industrials,9953433600,72.06,71.62,71.93,70.865,1109333,1714665,1.203,19.785515,17.452087,5.39209,92.06,58.83,1.89,0.27603
ABT,Abbott Laboratories,Healthcare,219828781056,126.54,126.15,126.99,125.625,8163228,6793813,0.732,15.8532,24.486435,4.5036535,141.23,102.78,1.87,
ABBV,AbbVie Inc.,Healthcare,336110419968,190.28,191.21,191.1834,187.65,2186481,6334696,0.481,81.25862,15.541633,234.47762,218.66,163.81,3.45,0.884
ACN,Accenture plc,Technology,172555190272,283.15,280.19,280.99,275.71,3688145,3315362,1.293,22.039778,19.690123,5.6463876,398.35,273.19,2.09,0.26928
ADBE,Adobe Inc.,Technology,156729180160,370.74,371.0,372.4,368.73,2979888,3524426,1.509,23.668802,17.979076,13.781053,587.75,332.01,,0.52254003
AMD,"Advanced Micro Devices, Inc.",Technology,281572343808,166.47,163.505,174.7,168.68,67534071,48473616,2.045,122.295784,34.050983,4.8485355,174.7,76.48,,0.03904
AES,The AES Corporation,Utilities,9618079744,13.8,13.81,13.84,13.435,7184363,17948329,0.941,7.3423915,6.655173,2.773558,20.3,9.46,5.1,0.05583
AFL,AFLAC Incorporated,Financial Services,54540263424,103.37,103.0,103.29,100.735,1349216,2294014,0.798,15.688958,14.069735,2.077858,115.5,94.87,2.24,0.14408
A,"Agilent Technologies, Inc.",Healthcare,33957130240,120.18,119.41,120.77,118.72,1679047,2024796,1.232,29.44335,21.157522,5.531442,153.84,96.43,0.83,0.18882999
APD,"Air Products and Chemicals, Inc",Basic Materials,65775104000,299.24,297.83,297.87,294.69,560705,1192729,0.866,42.587894,20.85815,4.4734373,341.14,243.69,2.39,0.095790006
ABNB,"Airbnb, Inc.",Consumer Cyclical,87743004672,141.31,141.17,143.27,141.0201,2805737,4867622,1.135,36.08122,31.591112,11.087194,163.93,99.88,,0.3206
AKAM,"Akamai Technologies, Inc.",Technology,11345602560,80.75,80.82,80.935,79.44,1070199,2337245,0.775,26.748322,11.932635,2.5399911,106.8,67.51,,0.09821
ALB,Albemarle Corporation,Basic Materials,8797512704,83.74,79.0,80.8774,74.185,10157588,3999719,1.63,,40.635868,1.1287912,113.91,49.43,1.93,-0.09992
ARE,Alexandria Real Estate Equities,Real Estate,13507445760,82.19,81.74,81.74,79.12,993681,1750337,1.266,,23.0,0.78380096,125.63,67.37,6.42,0.00784
ALGN,"Align Technology, Inc.",Healthcare,15018126336,205.56,202.91,207.75,203.24,1308206,925319,1.635,37.60254,20.193956,3.9894097,262.87,141.74,,0.108430006
ALLE,Allegion plc,Industrials,14050495488,165.39,165.02,165.635,163.0,771795,924245,1.025,22.76356,21.01027,7.8645906,166.22,116.57,1.23,0.38994
